"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"91",91,"Astra 1G","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",19.24,35780,35791,0.00013,0.04,"1436.08","3379","3,010 (BOL)","6600",1997-12-02,"15","Hughes","USA","Baikonur Cosmodrome","Proton K","1997-076A",25071,63.30091,46.00573
"92",92,"Astra 1H","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",-67.6,35776,35794,0.000213,0.06,"1436.04","3690","2300","6600",1999-06-18,"15","Hughes","USA","Baikonur Cosmodrome","Proton D","1999-033A",25785,63.30091,46.00573
"93",93,"Astra 1KR","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",19.16,35766,35807,0.000486,0.08,"1436.1","4332","","12000",2006-04-20,"15","Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 5","2006-012A",29055,-80.53311,28.45861
"94",94,"Astra 1L","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",19.3,35772,35798,0.000308,0.05,"1436.03","4500","","13000",2007-05-04,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5 ECA","2007-016A",31306,-52.76898,5.21603
"95",95,"Astra 1M","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",19.2,35804,35852,0.000569,0.14,"1438.2","5345","","9900",2008-11-05,"15","EADS Astrium","France","Baikonur Cosmodrome","Proton M","2008-057A",33436,63.30091,46.00573
"96",96,"Astra 1N","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.2,35715,35780,0.000772,0.12,"1434.1","5350","","",2011-08-06,"15","EADS Astrium","France","Guiana Space Center","Ariane 5 ECA","2011-041A",37775,-52.76898,5.21603
"97",97,"Astra 2A","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.16,35776,35797,0.000249,0.08,"1436.12","3635","2,500 (BOL)","7000",1998-08-30,"15","Hughes","USA","Baikonur Cosmodrome","Proton K","1998-050A",25462,63.30091,46.00573
"98",98,"Astra 2B","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",31.33,35772,35801,0.000344,0.07,"1436.11","3315","1400","7800",2000-09-14,"14yrs.","Astrium","France/UK/Germany","Guiana Space Center","Ariane 5G","2000-054A",26494,-52.76898,5.21603
"99",99,"Astra 2C","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.21,35768,35804,0.000427,0.07,"1436.12","3643","2000","7000",2001-06-16,"15","Boeing Satellite Systems","USA","Baikonur Cosmodrome","Proton K","2001-025A",26853,63.30091,46.00573
"100",100,"Astra 2D","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.14,35770,35802,0.00038,0.07,"1436.1","1420","700","1500",2000-12-19,"15","Hughes","USA","Guiana Space Center","Ariane 5G","2000-081A",26638,-52.76898,5.21603
"101",101,"Astra 2E","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.2,35781,35793,0.000142,0.11,"1436.12","6052","","13000",2013-09-29,"15","EADS Astrium","France","Baikonur Cosmodrome","Proton M","2013-056A",39285,63.30091,46.00573
"102",102,"Astra 2F","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.2,35777,35795,0.000213,0.06,"1436.07","6000","2660","",2012-09-28,"15","EADS Astrium","France/UK/Germany","Guiana Space Center","Ariane 5 ECA","2012-051A",38778,-52.76898,5.21603
"103",103,"Astra 2G","NR","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",28.2,35785,35789,4.74e-05,0.09,"1436.11","6000","","13000",2014-12-27,"15","Airbus Defense and Space","Germany/France","Baikonur Cosmodrome","Proton-M","2014-089A",40364,63.30091,46.00573
"104",104,"Astra 3A","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",23.48,35770,35804,0.000403,0.06,"1436.07","1500","750","1500",2002-03-29,"10","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 44L","2002-015B",27400,-52.76898,5.21603
"105",105,"Astra 3B","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",23.5,35768,35806,0.000451,0.08,"1436.11","5471","","10000",2010-05-21,"15","EADS Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5 ECA","2010-021A",36581,-52.76898,5.21603
"106",106,"Astra 5B","Luxembourg","SES (Soci√å¬©t√å¬© Europ√å¬©enne des Satellites (SES))","Luxembourg","Commercial","Communications","","GEO","",31.55,35787,35793,7.12e-05,0.05,"1436.26","5724","","",2014-03-22,"15","EADS Astrium","France","Guiana Space Center","Ariane 5 ECA","2014-011B",39617,-52.76898,5.21603
"107",107,"Astrosat","NR","Telemetry Tracking and Command Network (ISTRAC) Centre","India","Government","Space Science","","LEO","Equatorial",0,632,649,0.00121,5.99,"97.54","230","","",2015-09-28,"5","Indian Space Research Organization (ISRO)","India","Satish Dhawan Space Centre","PSLV C-30","2015-052A",40930,79,22
"108",108,"Athena-Fidus","France","Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)","France/Italy","Government/Military","Communications","","GEO","",25,35784,35788,4.74e-05,0.05,"1436.06","3080","","",2014-02-06,"15","Thales Alenia Space","France","Guiana Space Center","Ariane 5 ECA","2014-006B",39509,-52.76898,5.21603
"109",109,"Athenoxat-1","NR","Microspace Rapid Pvt Ltd.","Singapore","Commercial","Technology Development","","LEO","Equatorial",0,532,550,0.0013,14.98,"95.46","6","","",2015-12-16,"","Microspace Rapid Pvt Ltd.","Singapore","Satish Dhawan Space Center","PSLV-C29","2015-077C",41168,103.85007,1.28967
"110",110,"Aura","USA","Goddard Space Flight Center/EOS Data and Operations System","USA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,702,703,7.07e-05,98.2,"98.8","2967","","4,600 (EOL)",2004-07-15,"5","TRW","USA","Vandenberg AFB","Delta 2","2004-026A",28376,-120.53757,34.75046
"111",111,"Aurora","Russia","Sputnix Ltd.","Russia","Commercial","Technology Development","","LEO","Sun-Synchronous",0,583,618,0.00251,97.99,"96.7","25","","",2014-06-19,"1 yr.","Sputnix Ltd.","Russia","Dombarovsky Air Base","Dnepr","2014-033H",40017,100,60
"112",112,"Azerspace/Africasat-1a","Azerbaijan","Ministry of Communications and Information Technologies","Azerbaijan","Government","Communications","","GEO","",46,35778,35794,0.00019,0.04,"1436.08","3250","1438","",2013-02-07,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2013-006B",39079,-52.76898,5.21603
"113",113,"Badr 4","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",26.02,35780,35791,0.00013,0.07,"1436.06","3304","1487","",2006-11-08,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2006-051A",29526,63.30091,46.00573
"114",114,"Badr 5","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",26,35834,35883,0.00058,0.06,"1439.76","5420","","",2010-06-03,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton","2010-025A",36592,63.30091,46.00573
"115",115,"Badr 5A","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",30.5,35605,35623,0.000214,0.03,"1427.27","4940","","",2010-06-26,"15","EADS Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5 ECA","2010-032B",36745,-52.76898,5.21603
"116",116,"Badr 6","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",26.08,35768,35805,0.000439,0.05,"1436.1","3400","","6000",2008-07-07,"15","EADS Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5 ECA","2008-034B",33154,-52.76898,5.21603
"117",117,"Badr 7","NR","Arab Satellite Communications Org. (ASCO)","Multinational","Government","Communications","","GEO","",26,35768,35817,0.000581,0.1,"1436","5500","","",2015-11-10,"15","Airbus Defense and Space","France/UK/Germany/Spain","Guiana Space Center","Ariane 5","2015-065B",41029,-52.76898,5.21603
"118",118,"BeeSat-1","Germany","Institut f√å_r Luft- und Raumfahrt","Germany","Civil","Technology Development","","LEO","Sun-Synchronous",0,709,718,0.000635,98.3,"99","1","","",2009-09-23,"1 yr.","Technische√•√äUniversit√å_t√•√äBerlin","Germany","Satish Dhawan Space Center","PSLV","2009-051C",35933,10.5,51.5
"119",119,"BeeSat-2","Germany","Institut f√å_r Luft- und Raumfahrt","Germany","Civil","Technology Development","","LEO","Non-Polar Inclined",0,555,579,0.00173,64.8,"96.01","1","","",2013-04-19,"1 yr.","Technische√•√äUniversit√å_t√•√äBerlin","Germany","Baikonur Cosmodrome","Soyuz 2.1a","2013-015G",39136,63.30091,46.00573
"120",120,"BeeSat-3","Germany","Institut f√å_r Luft- und Raumfahrt","Germany","Civil","Technology Development","","LEO","Non-Polar Inclined",0,554,581,0.00195,64.8,"96.01","1","","",2013-04-19,"1 yr.","Technische√•√äUniversit√å_t√•√äBerlin","Germany","Baikonur Cosmodrome","Soyuz 2.1a","2013-015E",39134,63.30091,46.00573
"121",121,"Beidou 2-12","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21460,21595,0.00242,55.16,"773.19","2200","","",2012-04-28,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2012-018A",38250,105,35
"122",122,"Beidou 2-13","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21452,21603,0.00271,55.1,"773.21","2200","","",2012-04-28,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2012-018B",38251,105,35
"123",123,"Beidou 2-14","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21462,21591,0.00231,55,"773.1","3800","","",2012-09-18,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2012-050A",38774,105,35
"124",124,"Beidou 2-15","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21477,21574,0.00174,55,"773.1","3800","","",2012-09-18,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2012-050B",38775,105,35
"125",125,"Beidou 2-16","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",80,35775,35799,0.000285,1.84,"1436.11","3800","2300","",2012-10-25,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2012-059A",38953,105,35
"126",126,"Beidou 2-23","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",144,35776,35794,0.000213,1.84,"1436.1","3800","","",2016-06-12,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2016-037A",41586,105,35
"127",127,"Beidou 3I-1S","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",107.48,35796,36781,0.0115,54.9,"1461.81","4200","","",2015-03-30,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2015-019A",40549,105,35
"128",128,"Beidou 3I-2S","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",89.5,35606,35953,0.00412,55,"1435.73","4200","","",2015-09-29,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2015-053A",40938,105,35
"129",129,"Beidou 3M-1S","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21520,21549,0.00052,55,"773.2","800","","",2015-07-25,"5","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2015-037A",40748,105,35
"130",130,"Beidou 3M-2S","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21521,21550,0.00052,55,"773.3","800","","",2015-07-25,"5","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3B","2015-037B",40749,105,35
"131",131,"Beidou 3M-3S","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21524,21532,0.000143,55,"773.2","800","","",2016-02-01,"5","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2016-006A",41315,105,35
"132",132,"Beidou G-1","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",144.5,35768,35803,0.000415,1.78,"1436.05","2200","","",2010-01-16,"","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2010-001A",36287,105,35
"133",133,"Beidou G3","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",84.7,35774,35797,0.000273,1.83,"1436.05","2200","","",2010-06-02,"","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3","2010-024A",36590,105,35
"134",134,"Beidou G4","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",160,35764,35809,0.000534,1.43,"1436.1","6000","","",2010-10-31,"","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3C","2010-057A",37210,105,35
"135",135,"Beidou G5","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",59,35776,35799,0.000273,1.87,"1436.15","2300","","",2012-02-24,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2012-008A",38091,105,35
"136",136,"Beidou IGSO-1","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",118,35670,35893,0.00265,55.09,"1435.82","4200","1900","",2010-07-31,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2010-036A",36828,105,35
"137",137,"Beidou IGSO-2","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",118,35717,35817,0.00119,55.23,"1436.12","4200","1900","",2010-12-17,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2010-068A",37256,105,35
"138",138,"Beidou IGSO-3","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",118,35693,37872,0.0252,96.4,"1435.93","4200","1900","",2011-04-09,"","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2011-013A",37384,105,35
"139",139,"Beidou IGSO-4","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",0,35708,35879,0.00203,55.2,"1435.1","4200","1900","",2011-07-26,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2011-038A",37763,105,35
"140",140,"Beidou IGSO-5","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",104.21,35708,35864,0.00185,55.16,"1436.08","4200","1900","",2011-12-01,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2011-073A",37948,105,35
"141",141,"Beidou IGSO-6","NR","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","GEO","",100.3,35676,35890,0.00254,54.97,"1435.92","4200","1900","",2016-03-30,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2016-021A",41434,105,35
"142",142,"Beidou M1","China","Chinese Defense Ministry","China","Military/Government","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,21519,21545,0.000466,55.26,"773.39","2200","","",2007-04-14,"8","Space Technology Research Institute (part of CASC)","China","Xichang Satellite Launch Center","Long March 3A","2007-011A",31115,105,35
"143",143,"BeijinGalaxy-1","China","Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)","China","Civil","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,681,703,0.00156,97.9,"98.6","166","155","50",2005-10-27,"7","Tsinghua University/University of Surrey","China/United Kingdom","Plesetsk Cosmodrome","Kosmos 3M","2005-043A",28890,NA,NA
